EpisodeCount,StepCount,Time,InstanceUUID,SettleCount,ChangedCount,Matched_HorizontalPiece,Matched_VerticalPiece,Matched_CrossPiece,Matched_RocketPiece,Matched_BombPiece,Matched_RainbowPiece,Target_HorizontalPiece,Target_VerticalPiece,Target_CrossPiece,Target_RocketPiece,Target_BombPiece,Target_RainbowPiece
1,300,2023-05-10 21:35:55.382,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,58,34,5,86,13,26,7,3,0,2,2,3
2,301,2023-05-10 21:36:06.751,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,44,49,5,96,1,6,7,3,0,2,2,3
3,300,2023-05-10 21:36:16.560,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,35,21,4,83,12,6,7,3,0,2,2,3
4,303,2023-05-10 21:36:26.339,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,41,26,0,83,11,7,7,3,0,2,2,3
5,300,2023-05-10 21:36:36.267,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,49,21,5,69,0,3,7,3,0,2,2,3
6,300,2023-05-10 21:36:45.263,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,47,31,5,118,13,10,7,3,0,2,2,3
7,300,2023-05-10 21:36:54.532,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,40,42,9,98,15,8,7,3,0,2,2,3
8,301,2023-05-10 21:37:03.714,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,42,27,4,99,6,2,7,3,0,2,2,3
9,301,2023-05-10 21:37:13.497,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,34,46,2,72,2,7,7,3,0,2,2,3
10,302,2023-05-10 21:37:23.101,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,42,54,3,102,6,3,7,3,0,2,2,3
11,300,2023-05-10 21:37:32.922,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,41,26,3,85,7,9,7,3,0,2,2,3
12,300,2023-05-10 21:37:42.180,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,59,47,8,99,1,5,7,3,0,2,2,3
13,300,2023-05-10 21:37:53.078,cba8f125-29a2-4052-8154-7d096cb55f49,1,0,28,46,3,83,0,6,7,3,0,2,2,3
14,300,2023-05-10 21:38:02.443,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,58,48,4,78,3,9,7,3,0,2,2,3
15,301,2023-05-10 21:38:11.723,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,37,37,3,101,2,4,7,3,0,2,2,3
16,301,2023-05-10 21:38:21.051,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,49,46,7,116,8,19,7,3,0,2,2,3
17,301,2023-05-10 21:38:30.918,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,42,18,6,80,8,7,7,3,0,2,2,3
18,302,2023-05-10 21:38:40.546,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,48,48,2,101,5,5,7,3,0,2,2,3
19,302,2023-05-10 21:38:49.986,cba8f125-29a2-4052-8154-7d096cb55f49,0,0,38,30,9,70,6,11,7,3,0,2,2,3
